inggeris,ke,melayu,di
feasible,1,boleh jadi,M
flippant,1,bermain-main,A
forthright,1,berterus terang,A
frail,1,lemah jasmani atau rohani,M
futile,1,sia-sia,M
garrulous,1,banyak cakap,A
generate,1,menjanakan,M
gluttonous,1,kuat makan,M
gratify,1,memuaskan,A
gregarious,1,mudah berkawan,A
hamper,1,bakul hadiah,A
hamper,2,menghalang,A
heed,1,perhatian,A
hindrance,1,halangan,M
hostility,1,permusuhan,A
hypocritical,1,munafiq,A
hypocritical,2,hipokrit,M
hypothetical,1,berandaian,M
iconoclastic,1,menentang kesyirikan,A
immutable,1,bersifat nyahubah,M+
impair,1,mencacatkan,A
impede,1,menghalang,A
imperceptible,1,sukar dilihat,A
imperceptible,2,sukar dikesan,M
implacable,1,susah berpuas hati,A
implement,1,melaksanakan,M
implement,2,alat atau perkakas,M
implication,1,kesan atau maksud yang boleh jadi,M
implication,2,keadaan yang menunjukkan,M
implication,3,keadaan yang melibatkan,M
incongruity,1,ketidakserasian,A
inconsequential,1,tak penting,A
inconsistency,1,keadaan berubah-ubah atau bercanggah sendiri,M
incorporate,1,menggabungkan,A
incorporate,2,memperbadankan (syarikat),A
indict,1,mendakwa,A
indifferent,1,tidak peduli,M
indifferent,2,biasa,M
induce,1,menyebabkan,M
induce,2,mencepatkan kelahiran (perubatan),M
induce,3,mengaruh (sains),M
industrious,1,rajin,A
inept,1,tak cekap,A
infallible,1,maksum,A
ingenious,1,cerdik,A
ingenuous,1,jujur,A
ingrate,1,orang yang tak bersyukur,A
inherent,1,sedia ada,M
initiate,1,memulakan,A
initiate,2,murid,A
innate,1,sejak lahir,A
innocuous,1,tak berbahaya,A
inscrutable,1,sukar difahami,A
insightful,1,ada kefahaman mendalam,M
intangible,1,tak zahir,A
intricacy,1,kerumitan,A
irony,1,sindiran halus,M
irony,2,keadaan sepatutnya berlaku menjadi lain,M
larceny,1,pencurian,A
loathe,1,meluat,M
malice,1,niat jahat,M
meek,1,lemah semangat,X1
meticulous,1,teliti,A
misconception,1,salah faham,A
misrepresent,1,salah khabar,X1
mock,1,mengejek,A
monarchy,1,kesultanan,A
monotony,1,kebosanan,A
mutability,1,kebolehan berubah,A
naiveté,1,kejahilan akan hati budi orang,A
nocturnal,1,bergiat malam,M
nostalgia,1,rindu kenangan lama,A
notorious,1,"terkenal (jahat, buruk)",M
nurture,1,asuhan atau pemeliharaan,M
nurture,2,mengasuh atau memelihara,M
obnoxious,1,buruk perangai,A
obscure,1,samar atau sukar difahami,M
obscure,2,menjadikan samar,M
opaque,1,tak telus,A
optimist,1,orang yang sering berfikir baik (mujur),M
outmoded,1,lapuk,A
pacifist,1,pencinta kedamaian,A
pacify,1,mendamaikan,A
paradox,1,kenyataan seakan bercanggah sendiri,M
paradox,2,ungkapan paradoks (teori),M
patronize,1,melanggani; menjadi pelanggan,A
patronize,2,memperlekeh,A
pedantic,1,cerewet mendidik,A
perjury,1,bohongan,A
perpetual,1,berkekalan,A
pervasive,1,tular,A
pessimism,1,keadaan sering berfikir buruk (malang),M
petulant,1,pemarah,A
phenomena,1,sebarang kejadian atau pemerhatian,M
phenomena,2,orang atau benda luar biasa,M
phenomena,3,fenomena alam (sains),M
philanthropist,1,dermawan,M
plagiarize,1,ciplak,M
potency,1,kekuatan,A
pragmatic,1,bersifat amali,M
pragmatic,2,pendekatan pragmatik (falsafah),M
precedent,1,teladan awal,A
predator,1,pemangsa,M
premise,1,pengkalan,A
premonition,1,tilikan,A
prevail,1,berjaya,A
prey,1,mangsa,M
profound,1,"dalam (ilmu, kasih)",A
proliferation,1,percambahan,A
prolific,1,banyak bekas tangan,A
prologue,1,prakata,M
prominent,1,tonjol,A
promote,1,menggalakkan,A
promote,2,menaikkan pangkat,A
prophetic,1,bersifat ramalan,M+
prosperity,1,kemakmuran,M
provocative,1,bersifat merangsang,M+
prudent,1,cermat,A
random,1,sembarangan,M
random,2,"rawak (sains, matematik, komputer)",M
recluse,1,penyepi,A
refute,1,membuktikan tidak benar,M+
relinquish,1,melepaskan,M
renown,1,kemasyhuran,A
repudiate,1,membantah,A+
reserved,1,pendam (bukan peramah),M
reserved,2,ditempah,M
resolution,1,penyelesaian,A
resolution,2,azam,A
resolution,3,peleraian,M+
resolution,4,"resolusi; bilangan unit optik (gambar, paparan)",A
resolve,1,menyelesaikan,M
resolve,2,tekad,M
resolve,3,lerai (sains),M
restraint,1,kawalan diri,A
retain,1,mengekalkan,M
retain,2,meneruskan (pegangan),M
reticent,1,diam-diam ubi,A
reverent,1,menghormati,A
ruthless,1,kejam,M
satirize,1,menyindir,A
scrutinize,1,meneliti,A
seclusion,1,penyendirian,A
serenity,1,ketenangan,A
sever,1,memutuskan,A
severity,1,keparahan,A
singular,1,bersendirian,A
skeptical,1,ada keraguan,M
stratagem,1,percaturan,A
subdued,1,terkawal atau suram,M+
subdued,2,menundukkan,M
superficial,1,sekadar menyentuh permukaan,A
superfluous,1,berlebihan dan tak diperlukan,A
suppress,1,menyekat,A
surpass,1,mengatasi,M
suspend,1,gantung atau tangguh,M
suspend,2,gantung (komputer),M
sustain,1,mengekalkan atau meneruskan,M
sustain,2,mengalami,M
sustain,3,menyokong,M
symmetry,1,belahan sama; setangkup,M
symmetry,2,"bentuk simetri (sains, matematik)",M
synthesis,1,penggabungan,M+
synthesis,2,"proses sintesis (sains, teknologi)",M
taciturn,1,pendiam,A
tedious,1,jenuh,M
temperament,1,angin (seseorang),A+
termination,1,penamatan,M
termination,2,menyebabkan keguguran (perubatan),M
thwart,1,menghalang,A
toxic,1,beracun,M
toxic,2,bahan toksik (sains),M
transparent,1,telus,M
transparent,2,lut sinar (sains),M
trepidation,1,kekhuatiran,A
turbulence,1,pergolakan,A
urbane,1,beradab,M
utopia,1,dunia sempurna,M
vacillate,1,jiwa bergolak,A
versatile,1,serba boleh,M
vigor,1,keadaan bertenaga,M
volatile,1,mudah berubah,M
wary,1,waspada,M
withhold,1,menahan,A
